OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	N01	N02	N03	N04	N05	N06	N07	N08	N10	N11	N12	N13	N14	N15	N16	taxonomy
ae71bf7c99d3583a2d8841e5911c5716	617.0	650.0	560.0	764.0	0.0	79.0	77.0	0.0	0.0	527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
5c688e5274f4b5fdb6723d9d024c64ab	290.0	451.0	293.0	424.0	89.0	419.0	283.0	136.0	192.0	277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
ce36cd192172c4d302cefd39c6c0e2bc	17.0	28.0	24.0	41.0	406.0	542.0	551.0	516.0	511.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
cd02d7da122462321c3c7e8c545f0445	344.0	528.0	284.0	443.0	36.0	0.0	6.0	370.0	258.0	368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
0872ee96003e931447bfbda18e048d00	0.0	0.0	0.0	0.0	536.0	571.0	438.0	489.0	534.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
4232edf1fc65dd579d491caeafb49153	0.0	0.0	0.0	0.0	284.0	0.0	26.0	961.0	1268.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
975a41f9cf1caae7c95d74a6dea464c3	326.0	416.0	384.0	505.0	0.0	206.0	130.0	55.0	64.0	400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
9161bce7aeca9b553d901feb3e55c61c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2337.0	14.0	0.0	62.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	Unassigned
068678cf37cd00e22574581e32e97d8b	358.0	248.0	550.0	420.0	0.0	0.0	0.0	0.0	0.0	511.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
6a575072d7b0beec335625a8930e54fb	0.0	0.0	0.0	0.0	242.0	10.0	26.0	1192.0	560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
6b8444c8e461e9b8283b3e246439641f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1973.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
5c58ad86dbfebfade55da92dc4f3a3d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1956.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
32169248eb595dd383ef06a24f89c764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1889.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
319c23c6eec65d9236fd7d963ace1afb	227.0	521.0	313.0	235.0	0.0	151.0	102.0	0.0	0.0	269.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
faaa19b4c467792bc986f92945924ab0	166.0	113.0	263.0	207.0	10.0	195.0	456.0	34.0	25.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
fdf79b2352da82f67612a0d3fa98c598	112.0	186.0	127.0	134.0	191.0	149.0	130.0	182.0	211.0	196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
6446c1d2d0a290d5cebcb1fee55d6bf0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	1453.0	0.0	0.0	4.0	0.0	15.0	0.0	Unassigned
0e7b1f660575a3720d6994d4c92f06c6	178.0	61.0	191.0	172.0	89.0	0.0	0.0	331.0	340.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
